,N02+NO3 (mg/L as N),Phosphorous Total as P (mg/L),Nitrogen Kjeldahl Total (mg/L),Zinc Total (ug/L),TSS (mg/L),Copper Total (ug/L),Lead Total After 1984 (ug/L),Cadmium Total (ug/L),BOD5 as O2 (mg/L),Station_Name,year,date,NAME10
194,0.82,0.38,2.02,153.72,83.68,24.91,28.68,0.39,13.72,Hamilton_Avenue,1998,1998-01-07,"Baltimore, MD"
195,0.67,0.21,1.65,113.44,26.46,25.84,13.39,<0.5,8.47,Hamilton_Avenue,1998,1998-01-08,"Baltimore, MD"
196,0.8,0.05,2.17,69.47,72.39,64.95,28.8,0.38,7.23,Hamilton_Avenue,1998,1998-02-11,"Baltimore, MD"
197,0.78,0.21,1.05,76,41.87,25.3,27.53,0.4,5.25,Hamilton_Avenue,1998,1998-05-08,"Baltimore, MD"
198,<0.02,0.17,0.77,87.03,24.14,20.61,17.12,<0.5,6.06,Hamilton_Avenue,1998,1998-10-08,"Baltimore, MD"
199,0.92,0.5,2.11,163.23,43.13,26.42,14.62,0.38,26.03,Hamilton_Avenue,1998,1998-11-10,"Baltimore, MD"
200,0.58,0.2,2.27,74.21,16.39,17.57,8.67,0.39,9.51,Hamilton_Avenue,1998,1998-12-08,"Baltimore, MD"
201,0.94,0.15,1.48,63.48,25.64,16.05,9.48,0.29,1.87,Hamilton_Avenue,1999,1999-02-17,"Baltimore, MD"
202,0.99,0.47,1.91,184.39,169.32,37.72,41.65,1.95,9.18,Hamilton_Avenue,1999,1999-03-03,"Baltimore, MD"
203,0.3,1.48,5.12,614.02,418.7,108.06,175.46,1.6,189.68,Hamilton_Avenue,1999,1999-05-08,"Baltimore, MD"
204,0.93,0.26,2.13,190.4,96.09,44.99,50.35,0.64,8.91,Hamilton_Avenue,1999,1999-06-14,"Baltimore, MD"
205,1.27,0.16,1.5,68.55,15.01,31.07,8.17,<0.5,7.17,Hamilton_Avenue,1999,1999-06-17,"Baltimore, MD"
206,1.47,0.18,1.69,80.73,25.42,31.3,11.32,0.28,7.18,Hamilton_Avenue,1999,1999-08-20,"Baltimore, MD"
207,0.52,0.14,0.71,89.99,19.52,18.71,6.96,<0.5,2.64,Hamilton_Avenue,1999,1999-09-21,"Baltimore, MD"
208,0.48,0.75,2.69,175.13,87.84,36.49,31.7,0.52,14.36,Hamilton_Avenue,1999,1999-11-02,"Baltimore, MD"
209,0.49,0.12,0.5,70,19,23,10,<0.5,5.5,Hamilton_Avenue,1999,1999-12-13,"Baltimore, MD"
210,0.7,0.22,0.4,80,42,16,22,<0.5,4,Hamilton_Avenue,1999,1999-12-14,"Baltimore, MD"
211,1.2,0.48,3.4,260,230,45,52,0.7,25,Hamilton_Avenue,2000,2000-03-11,"Baltimore, MD"
212,0.74,0.13,1,110,58,22,17,0.28,7,Hamilton_Avenue,2000,2000-03-16,"Baltimore, MD"
213,0.87,0.31,1.9,90,36,24,11,<0.5,10,Hamilton_Avenue,2000,2000-05-19,"Baltimore, MD"
214,0.56,0.15,1,80,37,16,13,<0.5,4,Hamilton_Avenue,2000,2000-05-22,"Baltimore, MD"
215,1.5,0.24,1.9,100,61,60,13,0.45,11,Hamilton_Avenue,2000,2000-05-24,"Baltimore, MD"
216,0.66,0.24,0.7,80,54,25,17,0.28,6,Hamilton_Avenue,2000,2000-06-25,"Baltimore, MD"
217,1.3,0.34,1.7,110,100,22,24,0.26,6,Hamilton_Avenue,2000,2000-07-14,"Baltimore, MD"
218,0.81,0.27,1.4,70,36,21,8.5,<0.5,10,Hamilton_Avenue,2000,2000-08-14,"Baltimore, MD"
219,0.59,0.19,0.7,50,20,18,4.5,<0.5,4,Hamilton_Avenue,2000,2000-09-19,"Baltimore, MD"
220,0.59,0.19,0.7,50,20,18,4.5,<0.5,4,Hamilton_Avenue,2000,2000-09-19,"Baltimore, MD"
221,0.88,0.2,1.3,80,26,21,12,<0.5,13,Hamilton_Avenue,2000,2000-11-14,"Baltimore, MD"
222,0.27,0.13,0.2,50,28,14,7,<0.5,7,Hamilton_Avenue,2000,2000-11-26,"Baltimore, MD"
223,0.48,0.2,0.7,70,140,23,10.5,0.3,8,Hamilton_Avenue,2000,2000-12-14,"Baltimore, MD"
224,1,0.25,1.6,110,53,27,20,1.9,10,Hamilton_Avenue,2001,2001-01-30,"Baltimore, MD"
225,0.62,0.2,0.84,70.69,38,16.4,15.1,0.26,4.57,Hamilton_Avenue,2001,2001-02-16,"Baltimore, MD"
226,0.69,0.23,1.04,67.91,27,17.6,13.3,0.24,5,Hamilton_Avenue,2001,2001-03-12,"Baltimore, MD"
227,0.71,0.4,2.78,150.7,116,40.1,31.6,0.73,13,Hamilton_Avenue,2001,2001-05-21,"Baltimore, MD"
228,0.71,0.43,2.56,583.7,,111.5,157.9,2.1,6.3,Hamilton_Avenue,2001,2001-05-22,"Baltimore, MD"
229,1.38,0.38,1.96,146.7,49,48.8,31.3,0.75,7,Hamilton_Avenue,2001,2001-07-18,"Baltimore, MD"
230,1.06,0.12,1.03,71.79,20,32,13.8,0.22,8,Hamilton_Avenue,2001,2001-07-18,"Baltimore, MD"
231,1.62,0.4,2.37,106.5,37,40.1,17.27,0.29,10.57,Hamilton_Avenue,2001,2001-09-20,"Baltimore, MD"
232,0.32,0.58,2.58,146,74,30.3,27.9,0.4,9.6,Hamilton_Avenue,2001,2001-11-25,"Baltimore, MD"
233,0.58,0.08,0.53,35.91,7,11.4,4.21,0.11,,Hamilton_Avenue,2001,2001-12-17,"Baltimore, MD"
234,0.41,0.15,0.88,72.89,87,16.1,13.3,0.18,7,Hamilton_Avenue,2002,2002-03-02,"Baltimore, MD"
235,0.68,0.63,2.99,101.9,148,24.4,21.7,0.28,20,Hamilton_Avenue,2002,2002-05-02,"Baltimore, MD"
236,1.18,0.52,3.9,157.3,148,35.1,27.9,0.38,,Hamilton_Avenue,2002,2002-07-23,"Baltimore, MD"
237,0.54,0.09,0.24,49.88,11,18.6,8.05,0.33,5,Hamilton_Avenue,2002,2002-08-28,"Baltimore, MD"
238,0.7,0.75,3.4,52.02,32,10.6,9.43,0.19,3.8,Hamilton_Avenue,2002,2002-10-15,"Baltimore, MD"
239,0.5,0.16,2.01,44.04,18,12,6.97,0.1,5.2,Hamilton_Avenue,2002,2002-10-29,"Baltimore, MD"
240,0.89,0.48,2.63,283.5,277,55.5,87.8,0.82,23,Hamilton_Avenue,2003,2003-02-04,"Baltimore, MD"
241,1.44,0.21,1.23,152.6,87,23.4,35.5,0.47,3.9,Hamilton_Avenue,2003,2003-03-06,"Baltimore, MD"
242,0.86,0.13,0.6,72.6,67,15.1,13.6,0.5,7,Hamilton_Avenue,2003,2003-04-10,"Baltimore, MD"
243,0.72,0.26,1.3,78,77,16,13,0.5,6,Hamilton_Avenue,2003,2003-05-16,"Baltimore, MD"
244,0.62,0.3,0.5,130,120,22,23,0.6,10,Hamilton_Avenue,2003,2003-07-22,"Baltimore, MD"
245,0.63,0.38,1.4,64,54,13,14,0.5,6,Hamilton_Avenue,2003,2003-10-14,"Baltimore, MD"
246,0.75,0.22,0.1,55,23,18,8.9,0.5,6,Hamilton_Avenue,2003,2003-11-06,"Baltimore, MD"
247,0.66,0.17,0.1,63,44,14,13,,5,Hamilton_Avenue,2004,2004-04-01,"Baltimore, MD"
248,0.54,0.22,0.9,54,31,16,10,,5,Hamilton_Avenue,2004,2004-06-05,"Baltimore, MD"
249,0.43,0.28,1.2,110,111,23,34,,5.8,Hamilton_Avenue,2004,2004-07-27,"Baltimore, MD"
250,1.5,0.12,12,90,20,30,<15,<5,20,Homeland_HO,1992,1992-06-05,"Baltimore, MD"
251,0.78,1.89,4.5,200,28,30,50,<5,19,Homeland_HO,1992,1992-08-28,"Baltimore, MD"
252,1.6,0.8,<0.5,80,26,20,<15,<5,7,Homeland_HO,1992,1992-09-25,"Baltimore, MD"
253,1.6,1.6,36,150,40,160,<15,<5,22,Herring_Run_HR,1992,1992-05-30,"Baltimore, MD"
254,0.71,0.42,,90,80,110,30,<1,15,Herring_Run_HR,1993,1993-04-26,"Baltimore, MD"
255,1.39,0.39,3.1,80,22,240,<5,<1,31,Herring_Run_HR,1993,1993-10-20,"Baltimore, MD"
256,7.3,0.25,5,150,121,20,40,<1,17,Koppers_Avenue_ KO,1993,1993-04-26,"Baltimore, MD"
257,0.78,0.47,1.2,150,47,30,70,<1,11,Koppers_Avenue_ KO,1993,1993-11-05,"Baltimore, MD"
258,1.39,0.4,2,190,114,30,<5,<1,13,Koppers_Avenue_ KO,1994,1994-03-21,"Baltimore, MD"
259,0.57,0.18,1,13,27,11,8,<1,7.8,Sunset_Drive_SD,1994,1994-02-21,"Baltimore, MD"
260,1.6,0.58,2,180,174,22,28,<1,23,Sunset_Drive_SD,1994,1994-07-14,"Baltimore, MD"
261,1.67,0.42,1.5,50,21,9.9,<2.5,<2.5,22,Sunset_Drive_SD,1994,1994-11-10,"Baltimore, MD"
262,0.45,0.25,1.35,29,29,13,24,4,4,Burnside_Drive,2000,2000-02-27,"Baltimore, MD"
263,0.6,0.36,1,30,50,6,5,0.5,4,Burnside_Drive,2001,2001-01-19,"Baltimore, MD"
264,0.83,0.09,1.1,20,5,5,5,0.5,4,Burnside_Drive,2001,2001-01-30,"Baltimore, MD"
265,0.66,0.11,1.7,20,18,3,5,0.5,3,Burnside_Drive,2001,2001-03-22,"Baltimore, MD"
266,0.77,0.08,1,20,16,3,5,0.5,3,Burnside_Drive,2001,2001-03-29,"Baltimore, MD"
267,0.64,0.03,1,20,2,3,5,0.5,2,Burnside_Drive,2001,2001-04-12,"Baltimore, MD"
268,0.14,0.055,1,20,8.27,2,5,0.5,2.16,Burnside_Drive,2001,2001-06-16,"Baltimore, MD"
269,0.525,0.066,1,43,5.53,4,5,0.5,2.4,Burnside_Drive,2001,2001-09-25,"Baltimore, MD"
270,0.18,0.054,1,31,1.8,2.7,5,0.5,,Burnside_Drive,2001,2001-11-24,"Baltimore, MD"
271,0.275,0.039,1,46,5,13.1,5,1.65,,Burnside_Drive,2001,2001-12-08,"Baltimore, MD"
272,0.254,0.027,1.8,82.33,3.63,2.4,5,0.91,2,Burnside_Drive,2002,2002-03-12,"Baltimore, MD"
273,0.61,0.065,1.4,55,9.8,2.97,5,0.5,2.47,Burnside_Drive,2002,2002-03-21,"Baltimore, MD"
274,1.27,0.048,1.27,28,6.27,2.57,5,0.5,5.53,Burnside_Drive,2002,2002-04-11,"Baltimore, MD"
275,0.492,0.207,1.87,35.67,95.33,5.57,5.53,0.5,12,Burnside_Drive,2002,2002-05-03,"Baltimore, MD"
276,0.281,0.083,1.73,42,10.27,2,5,0.5,2.45,Burnside_Drive,2002,2002-09-27,"Baltimore, MD"
277,0.615,0.073,1,21,6.17,2,5,0.5,3.7,Burnside_Drive,2002,2002-10-17,"Baltimore, MD"
278,0.6,0.057,1,12.33,5.33,2.63,5,0.5,2.6,Burnside_Drive,2002,2002-11-06,"Baltimore, MD"
279,0.47,0.071,1,20.33,13.27,2.8,5,0.5,4.07,Burnside_Drive,2002,2002-12-12,"Baltimore, MD"
280,0.45,0.23,1.75,28,107.5,6.4,5.8,0.5,6.35,Burnside_Drive,2004,2004-04-26,"Baltimore, MD"
281,0.34,0.09,1.6,33,22.93,2.43,5,0.5,2,Burnside_Drive,2004,2004-06-11,"Baltimore, MD"
282,0.18,5.1,1.8,33,450,13,5,0.73,5.7,Burnside_Drive,2004,2004-07-04,"Baltimore, MD"
283,0.92,0.11,1.6,26,68,5.1,5,5,8.5,Burnside_Drive,2004,2004-07-12,"Baltimore, MD"
284,0.27,0.08,1,10,17,2.5,5,0.5,5.6,Burnside_Drive,2004,2004-09-08,"Baltimore, MD"
285,0.41,0.14,1.1,15,31.67,7.43,5,0.5,2.27,Burnside_Drive,2004,2004-09-17,"Baltimore, MD"
286,0.38,0.07,2.27,17.33,22,6.83,5,0.5,5.63,Burnside_Drive,2004,2004-09-28,"Baltimore, MD"
287,0.64,0.4,1.35,18,37,3.15,5,0.5,3.3,Burnside_Drive,2004,2004-10-13,"Baltimore, MD"
288,0.58,0.17,1.25,19,41.25,4.15,5,0.5,17.5,Burnside_Drive,2004,2004-11-04,"Baltimore, MD"
289,0.41,0.06,1.07,20,4.67,4.5,2,0.5,3.13,Burnside_Drive,2004,2004-12-07,"Baltimore, MD"
290,0.56,0.4,2.25,30,53,11,24,4,5,Carrigan_Drive,2000,2000-02-27,"Baltimore, MD"
291,0.48,0.25,1.3,40,95,6,5,1,4,Carrigan_Drive,2001,2001-01-19,"Baltimore, MD"
292,2.11,0.14,1.4,30,4,5,5,1,4,Carrigan_Drive,2001,2001-01-30,"Baltimore, MD"
293,2.11,0.14,1.4,30,4,5,5,1,4,Carrigan_Drive,2001,2001-01-30,"Baltimore, MD"
294,1.891,0.14,1.07,20,13.27,4,5,0.5,3.13,Carrigan_Drive,2001,2001-03-22,"Baltimore, MD"
295,1.658,0.143,1.3,40,27.53,4.3,5,0.5,3.87,Carrigan_Drive,2001,2001-03-29,"Baltimore, MD"
296,3.474,0.08,1,33.3,14.07,6,5,0.5,2.63,Carrigan_Drive,2001,2001-04-12,"Baltimore, MD"
297,3.548,0.085,1.23,20,3.1,2.1,5,0.5,4.13,Carrigan_Drive,2001,2001-06-16,"Baltimore, MD"
298,1.857,0.297,1,51.5,6.8,6.2,5,0.5,2.87,Carrigan_Drive,2001,2001-09-25,"Baltimore, MD"
299,1.4,0.32,1,130,6,17,5,0.5,,Carrigan_Drive,2001,2001-11-24,"Baltimore, MD"
300,1.097,0.076,1,41,2.9,6.2,5,0.65,,Carrigan_Drive,2001,2001-12-08,"Baltimore, MD"
301,2.287,0.053,1.3,36.33,3.1,2.6,5,0.54,3.93,Carrigan_Drive,2002,2002-01-30,"Baltimore, MD"
302,0.753,0.127,1.13,33.33,3.67,3.3,5,1.11,2.93,Carrigan_Drive,2002,2002-03-12,"Baltimore, MD"
303,1.191,0.177,1.5,49.33,11.4,4.03,5,0.5,3.7,Carrigan_Drive,2002,2002-03-21,"Baltimore, MD"
304,1.093,0.146,1.13,42,7.93,4.67,5,0.59,7.1,Carrigan_Drive,2002,2002-04-11,"Baltimore, MD"
305,0.737,0.41,2.8,59,75.67,8.17,6.67,0.52,19.33,Carrigan_Drive,2002,2002-05-03,"Baltimore, MD"
306,0.776,0.15,2.03,50.33,6,2,5,0.5,8.25,Carrigan_Drive,2002,2002-09-27,"Baltimore, MD"
307,0.85,0.173,1,21,12,2,5,0.5,4.8,Carrigan_Drive,2002,2002-10-17,"Baltimore, MD"
308,0.603,0.203,1,30,9,4.5,5,0.5,15,Carrigan_Drive,2002,2002-11-06,"Baltimore, MD"
309,0.073,0.17,1.4,47,51,7.8,5.3,0.5,4.4,Carrigan_Drive,2002,2002-12-12,"Baltimore, MD"
310,1.11,0.2,1.45,37.5,88.4,5,5,0.5,6.2,Carrigan_Drive,2004,2004-04-26,"Baltimore, MD"
311,2.62,0.12,1,43,42,10,5,2.5,6,Carrigan_Drive,2004,2004-07-04,"Baltimore, MD"
312,1.93,0.14,1.7,31,6,5.5,5,0.94,5.6,Carrigan_Drive,2004,2004-07-12,"Baltimore, MD"
313,2.82,0.14,1.4,20,2.5,3.1,5,0.5,3.5,Carrigan_Drive,2004,2004-09-08,"Baltimore, MD"
314,1.54,0.19,1.37,14.67,7.33,3.9,5,0.56,2.4,Carrigan_Drive,2004,2004-09-17,"Baltimore, MD"
315,2.02,0.11,1,21.67,15.5,4.4,5,0.5,3.63,Carrigan_Drive,2004,2004-09-28,"Baltimore, MD"
316,1.81,0.17,1.3,29,12,4.65,5,0.5,3.4,Carrigan_Drive,2004,2004-10-13,"Baltimore, MD"
317,1.78,0.07,1.07,20,4.83,2.73,2,0.5,2.47,Carrigan_Drive,2004,2004-12-07,"Baltimore, MD"
318,0.25,0.11,1,32.14,12.21,10,,10,3.09,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1998,1998-02-11,"Baltimore, MD"
319,7.05,0.07,1,50.79,10.37,10,,10,2,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1998,1998-02-17,"Baltimore, MD"
320,2.11,0.2,1.09,24.78,10.45,10,,10,5.96,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1998,1998-03-18,"Baltimore, MD"
321,2.36,0.22,3.32,567.05,790,79.77,100,10,38.82,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-01-21,"Baltimore, MD"
322,0.4,0.33,2,93.33,173.33,16.67,100,10,43,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-02-17,"Baltimore, MD"
323,0.41,0.58,2,261,678.88,28.55,100,10,9.93,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-06-14,"Baltimore, MD"
324,2.12,0.08,1.86,37.64,10.75,10,100,10,8.25,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-08-20,"Baltimore, MD"
325,0.64,0.37,1,90.79,134.99,20.61,100,10,3.37,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-09-15,"Baltimore, MD"
326,1.18,0.2,1.23,65.95,79.28,12.28,100,10,2.46,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-09-29,"Baltimore, MD"
327,0.85,0.75,1.41,193.35,448.61,38.06,100,10,23.47,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,1999,1999-11-02,"Baltimore, MD"
328,0.34,0.4,1.13,242.58,178.82,36.45,100,10,7.11,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2000,2000-01-04,"Baltimore, MD"
329,0.34,0.15,1.38,43.92,136.17,540.54,100,10,9.39,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2000,2000-06-21,"Baltimore, MD"
330,2.36,0.28,2.92,146.92,81.38,20,100,,24.92,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2000,2000-11-25,"Baltimore, MD"
331,2.5,1.07,5.69,583.85,386.15,72.31,100,10,16.62,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-01-19,"Baltimore, MD"
332,0.72,0.55,3.66,413.48,321.47,49.61,100,10,12.6,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-01-30,"Baltimore, MD"
333,0.73,0.27,2.57,295.09,330.12,26.71,100,10,6.08,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-03-12,"Baltimore, MD"
334,1.4,0.17,1.66,118.92,56.46,20,100,0.5,14.89,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-03-20,"Baltimore, MD"
335,1.44,0.23,1.56,70,21.17,35.65,100,0.5,12.27,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-05-19,"Baltimore, MD"
336,2.18,0.22,1.97,122.61,76.52,29.57,100,0.5,8.32,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-06-06,"Baltimore, MD"
337,0.99,0.09,1.65,67.47,60.37,12.16,100,0.5,3.98,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-06-22,"Baltimore, MD"
338,3.47,0.84,3.81,101.21,117.35,29.11,6.33,10,30.56,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-08-10,"Baltimore, MD"
339,1.58,0.3,2.79,210.67,161.03,23.94,7.79,10,20.28,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-09-14,"Baltimore, MD"
340,0.35,0.44,2.1,25.01,38.02,5.9,5,10,8.7,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-09-24,"Baltimore, MD"
341,4.44,0.55,2.86,135.7,377.45,21.07,7.67,10,12.98,Pindell_School_Road_at_the_interchange_with_MD_32_PS1,2001,2001-10-14,"Baltimore, MD"
342,5.78,0.09,1.14,22.74,8.06,10,,10,2,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1998,1998-02-17,"Baltimore, MD"
343,3.15,0.16,2,21.57,6.41,10,,10,4.69,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1998,1998-03-18,"Baltimore, MD"
344,0.64,0.16,2.09,80.22,55.14,10.55,,16.05,4.14,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1998,1998-08-10,"Baltimore, MD"
345,3.2,0.21,2.6,432,732,60,100,10,7,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-01-21,"Baltimore, MD"
346,1.37,0.28,1.19,70,121.28,10,100,10,11.22,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-02-17,"Baltimore, MD"
347,1.3,0.48,2.41,119.44,294.48,20,100,10,12.53,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-06-14,"Baltimore, MD"
348,3.11,0.11,1.43,28.54,13.95,10,100,,8.99,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-08-20,"Baltimore, MD"
349,1.76,0.37,1,81.79,121.59,10,100,10,4.44,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-09-15,"Baltimore, MD"
350,1.61,0.21,1,69.59,109.31,10,100,10,4.96,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-09-29,"Baltimore, MD"
351,2.87,0.49,1.31,125.56,238,18.75,100,10,12.16,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,1999,1999-11-02,"Baltimore, MD"
352,1.08,0.39,1.08,181.42,142.08,25.08,100,10,6.66,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2000,2000-01-04,"Baltimore, MD"
353,0.77,0.36,2.08,73.26,130.04,13.05,100,10,19.39,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2000,2000-06-21,"Baltimore, MD"
354,8.26,0.06,1,20,7.99,10,100,10,2.43,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2000,2000-11-25,"Baltimore, MD"
355,1.93,0.35,2.63,131.5,143.45,15,100,10,6.15,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-01-19,"Baltimore, MD"
356,1.94,0.48,3.18,278.03,240.37,30.93,100,10,12.48,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-01-30,"Baltimore, MD"
357,1.81,0.18,1.15,151.92,143.68,17.94,100,10,8.93,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-03-12,"Baltimore, MD"
358,3.38,0.1,1.22,47.65,38.62,10,100,0.5,8.87,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-03-20,"Baltimore, MD"
359,3.06,0.16,1.34,43.75,34.25,15.16,100,0.5,8.63,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-05-19,"Baltimore, MD"
360,3.66,0.12,0.57,42.84,60.24,10,100,0.5,2,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-06-06,"Baltimore, MD"
361,1.2,0.14,0.36,47.52,78.91,11.05,100,0.5,4.6,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-06-22,"Baltimore, MD"
362,5.76,0.26,1.64,20.89,43.89,7.33,5,,10.49,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-08-10,"Baltimore, MD"
363,2.33,0.22,0.77,84.65,82.3,14.07,5.5,0.5,17.22,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-09-14,"Baltimore, MD"
364,0.33,0.34,2.1,44.94,83.75,9.58,5.02,0.66,2.58,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-09-24,"Baltimore, MD"
365,2.23,0.2,1.59,53.8,100.18,10.58,6.59,0.59,2.28,Pindell_School_Road_at_the_interchange_with_MD_32_PS2,2001,2001-10-14,"Baltimore, MD"
366,0.7,0.1,1.1,380,50,40,<50,20,2,Dobbin_Center_DC,1993,1993-12-15,"Baltimore, MD"
367,1.1,0.04,6,100,23,<5,<100,<5,7,Dobbin_Center_DC,1994,1994-03-21,"Baltimore, MD"
368,0.4,<0.06,1,110,32,<5,<100,<5,4,Dobbin_Center_DC,1994,1994-04-13,"Baltimore, MD"
369,0.4,0.24,0.4,90,41,10,<50,20,39,Food_Market_FM,1993,1993-12-15,"Baltimore, MD"
370,0.3,0.63,14,160,72,20,<100,<5,13,Food_Market_FM,1994,1994-04-06,"Baltimore, MD"
371,0.3,0.9,3,180,110,10,<5,<5,94,Food_Market_FM,1994,1994-11-01,"Baltimore, MD"
372,0.8,0.12,0.9,40,27,<5,<100,<5,6,Green_Moon_GM,1993,1993-12-10,"Baltimore, MD"
373,0.7,0.17,7,30,25,<5,<100,<5,48,Green_Moon_GM,1994,1994-04-06,"Baltimore, MD"
374,1.1,1.6,10,150,27,10,<5,<5,350,Green_Moon_GM,1994,1994-11-01,"Baltimore, MD"
375,0.6,0.33,2.6,<5,23,<5,<100,<5,5,Murray_Hill_MH,1993,1993-12-10,"Baltimore, MD"
376,0.4,0.22,<0.5,170,76,20,<100,<5,9,Murray_Hill_MH,1994,1994-01-28,"Baltimore, MD"
377,0.6,0.02,<0.5,80,20,<5,<100,<5,6,Murray_Hill_MH,1994,1994-04-13,"Baltimore, MD"
378,0.3,0.24,0.9,60,17,<25,<250,<25,10,Oakland_Center_OC,1993,1993-11-17,"Baltimore, MD"
379,0.9,0.09,25,<110,76,<20,<100,<5,10,Oakland_Center_OC,1994,1994-01-25,"Baltimore, MD"
380,0.7,0.04,1,140,33,<5,<100,<5,4,Oakland_Center_OC,1994,1994-03-21,"Baltimore, MD"
381,1.16,0.57,4.17,518.29,186.29,66,<5,<1,14.77,Dulaney_Valley_Road,1999,1999-06-14,"Baltimore, MD"
382,1.9,0.85,13.67,574.99,121.71,112.23,<5,<1,87.48,Dulaney_Valley_Road,1999,1999-07-20,"Baltimore, MD"
383,1.27,0.25,2.38,138.27,100.01,31.46,<5,14.34,7.77,Dulaney_Valley_Road,1999,1999-08-25,"Baltimore, MD"
384,1.69,0.47,2.76,187.2,56.12,31.3,<5,<1,10.19,Dulaney_Valley_Road,1999,1999-09-15,"Baltimore, MD"
385,1.37,0.39,2.24,657.43,204.37,75.16,<5,<1,18.81,Dulaney_Valley_Road,2000,2000-01-04,"Baltimore, MD"
386,1.81,0.27,2.32,162.05,35.31,31.24,<5,<1,3.19,Dulaney_Valley_Road,2000,2000-01-10,"Baltimore, MD"
387,1.35,0.32,20.95,106.41,51.3,23.59,<5,<1,41.73,Dulaney_Valley_Road,2000,2000-05-19,"Baltimore, MD"
388,3.17,0.34,10.39,395.64,126.23,57.51,91.7,<1,39.79,Dulaney_Valley_Road,2000,2000-06-06,"Baltimore, MD"
389,0.25,0.11,0.97,31.61,12.21,,<5,<1,3.09,Pindell_School_Road,1998,1998-02-11,"Baltimore, MD"
390,,0.07,1,50.79,10.37,10,<5,<1,<1,Pindell_School_Road,1998,1998-02-17,"Baltimore, MD"
391,2.11,0.2,0.19,9.56,10.45,,<5,<1,5.96,Pindell_School_Road,1998,1998-03-18,"Baltimore, MD"
392,0.53,0.2,2.25,70.38,37.72,22.5,<5,<1,5.16,Pindell_School_Road,1998,1998-08-10,"Baltimore, MD"
393,2.36,0.22,3.32,567.05,790,79.77,<5,<1,<1,Pindell_School_Road,1999,1999-01-21,"Baltimore, MD"
394,0.4,0.33,2,93.33,173.33,16.67,33.33,<1,43,Pindell_School_Road,1999,1999-02-17,"Baltimore, MD"
395,0.41,0.58,2,261,678.88,28.55,<5,<1,9.93,Pindell_School_Road,1999,1999-06-14,"Baltimore, MD"
396,2.12,0.08,1.73,37.64,10.75,,<5,<1,8.25,Pindell_School_Road,1999,1999-08-20,"Baltimore, MD"
397,0.64,0.37,<0.5,90.79,134.99,20.61,<5,<1,3.37,Pindell_School_Road,1999,1999-09-15,"Baltimore, MD"
