,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
12,<5,<1,57,25,<5,17,198,<5,236,<5,<5,13,<1,530,<5,<5,<1,<1,<5,<5,1.36,100,<5,<1,<5,<10,<5,<5,8.14,0.2,<1,<1,1.2,<0.1,9,5.2,0.94,11.54,924,1515,149.8,0.94,170,<1,Project_5401_Redondo_Ave_11th_ St,1996,1996-02-06,"Los Angeles--Long Beach--Anaheim, CA"
13,<5,<1,42,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,170,,<5,<1,<1,<5,<5,1.88,<100,<5,<1,<5,<10,<5,<5,7.57,1.99,<1,<1,0.622,0.29,594,11.0,0.41,6.84,116,200,39.6,0.34,19.4,<1,Project_5401_Redondo_Ave_11th_ St,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
14,22,<1,52,<5,16,18,66,<5,108,<5,<5,<5,<1,890,152,<5,<1,<1,<5,<5,2.3,<100,<5,<1,<5,<10,<5,<5,7.16,1.64,<1,<1,1.41,0.43,58,13.0,0.64,16.13,110,181,42.8,0.45,14.3,<1,Project_5401_Redondo_Ave_11th_ St,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
15,<5,<1,98,<5,<5,52,<50,<5,73,<5,<5,<5,<1,1750,50,<5,<1,<1,<5,5,3.24,280,<5,<1,<5,171,<5,<5,8.1,0.82,<1,<1,1.98,<0.1,221,62.0,0.44,14.7,940,1470,145.0,0.37,239,<1,Project_5401_Redondo_Ave_11th_ St,1996,1996-04-16,"Los Angeles--Long Beach--Anaheim, CA"
16,<5,<1,210,<5,<5,38,<50,<5,100,<5,11,<5,<1,1260,<5,<5,<1,<1,<5,<5,7.98,<100,<5,<1,<5,<10,<5,<5,7.97,4.4,<1,<1,11.571,<0.1,13,4.6,1.02,,902,1100,187.0,0.88,91.5,<1,Project_5401_Redondo_Ave_11th_ St,1996,1996-06-18,"Los Angeles--Long Beach--Anaheim, CA"
17,22,<1,60,26,10,<5,230,<5,410,<5,11,<5,<1,2260,<5,<5,<1,<1,<5,<5,2.18,100,<5,<1,<5,126,<5,<5,7.31,0.46,<1,<1,1.496,0.08,90,39.0,0.443,14.24,136,225,26.8,0.44,28.2,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1995,1995-12-23,"Los Angeles--Long Beach--Anaheim, CA"
18,18,<1,24,21,12,<5,145,<5,245,<5,<5,<5,<1,1460,<5,<5,<1,<1,<5,<5,1.74,110,<5,<1,27.3,<10,<5,<5,7.03,<0.1,<1,<1,0.976,<0.1,54,27.0,0.25,13.99,92,158,22.5,<0.05,16.1,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
19,10,<1,26,<5,<5,<5,136,<5,148,<5,<5,<5,<1,260,52.4,<5,<1,<1,<5,6,1.14,<100,<5,<1,<5,<10,<5,<5,6.64,<0.1,<1,<1,0.893,0.21,59,50.0,0.07,3.91,48,86.2,21.4,0.07,7.77,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
20,25,<1,38,<5,<5,12,124,<5,196,<5,<5,<5,<1,1820,<5,<5,<1,<1,<5,<5,1.02,<100,<5,<1,<5,<10,<5,<5,7.02,0.49,<1,<1,1.015,<0.1,80,16.0,0.21,5.98,58,88,21.4,0.13,6.37,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-03-05,"Los Angeles--Long Beach--Anaheim, CA"
21,39,<1,78,11.6,12,11,250,<5,510,<5,<5,<5,<1,2590,<5,<5,<1,<1,<5,<5,4.38,<100,<5,<1,<5,<10,<5,<5,6.84,0.667,<1,<1,1.88,0.06,89,23.5,0.69,16,106,173,21.4,0.27,18.6,<1,Santa_Monica_Pier_Drain_at_Appian_Way,1996,1996-10-30,"Los Angeles--Long Beach--Anaheim, CA"
