,Lead Total After 1984 (ug/L),Cadmium Total (ug/L),Copper Total (ug/L),Nickel Total (ug/L),Chromium Total (ug/L),Copper Filtered (ug/L),Zinc Filtered (ug/L),Lead Filtered After 1984 (ug/L),Zinc Total (ug/L),Chromium Filtered (ug/L),Arsenic Total (ug/L),Nickel Filtered (ug/L),Cadmium Filtered (ug/L),"Iron, Total as Fe (ug/L)",COD as O2 (mg/L),Arsenic Filtered (ug/L),Silver Filtered (ug/L),Silver Total (ug/L),Selenium  Filtered (ug/L),Selenium  Total (ug/L),Nitrogen Kjeldahl Total (mg/L),"Iron, Filtered as Fe (ug/L)",Antimony  Filtered (ug/L),Beryllium Total (ug/L),Antimony  Total (ug/L),"Barium, total as Ba (ug/L)",Thallium Filtered (ug/L),Thallium Total (ug/L),pH,Ammonia (mg/L),Mercury Filtered (ug/L),Mercury Total (ug/L),Nitrogen_Nitrate (mg/L as N) ,Nitrogen_Nitrite (mg/L as N),TSS (mg/L),Turbidity_NTU,Phosphorous Total as P (mg/L),Total_Organic_Carbon_as_Carbon  (mg/L),TDS_mg/L,Conductivity (uS/cm @25ºC),"Alkalinity, total as CaCO3 (mg/L)",Phosphorous Filtered as P (mg/L),Chloride (mg/L),Beryllium Filtered (ug/L),Station_Name,year,date,NAME10
52,18,<1,60,14,<5,20,170,15,540,<5,<5,<5,<1,540,109,<5,<1,<1,<5,<5,5.26,140,<5,<1,<5,<10,<5,<5,7.19,3.03,<1,<1,6.328,0.51,40,14.0,0.35,31.88,138,184,32.1,0.18,11.9,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1995,1995-12-12,"Los Angeles--Long Beach--Anaheim, CA"
53,<5,<1,33,<5,<5,17,185,<5,208,<5,<5,<5,<1,270,<5,<5,<1,<1,<5,<5,2.7,160,<5,<1,<5,<10,<5,<5,7.32,1.36,<1,<1,2.283,0.34,86,14.0,0.12,26.46,96,165,42.8,0.07,5.92,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-01-21,"Los Angeles--Long Beach--Anaheim, CA"
54,44,<1,81,27,10,21,133,<5,265,<5,<5,<5,<1,1770,<5,<5,<1,<1,<5,<5,2.1,<100,<5,<1,<5,<10,<5,<5,7.3,<0.1,<1,<1,3.413,<0.1,53,22.0,0.21,13.87,120,184,44.9,0.08,9.62,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
55,12,<1,42,<5,<5,<5,124,11,191,<5,<5,<5,<1,1220,72.5,<5,<1,<1,<5,<5,2.48,980,<5,<1,<5,<10,<5,<5,7.42,<0.1,<1,<1,0.46,<0.1,18,9.7,0.45,101.9,396,592,174.0,0.05,45.7,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-02-06,"Los Angeles--Long Beach--Anaheim, CA"
56,17,<1,79,41,<5,13,367,13,437,<5,<5,<5,<1,2090,140,<5,<1,<1,<5,<5,2.42,1220,<5,<1,<5,<10,<5,<5,7.3,<0.1,<1,<1,0.273,<0.1,34,17.0,0.6,,338,499,139.1,0.6,34.3,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-02-06,"Los Angeles--Long Beach--Anaheim, CA"
57,<5,<1,26,<5,<5,13,<50,<5,99,<5,<5,<5,<1,220,,<5,<1,<1,<5,<5,2.02,<100,<5,<1,<5,<10,<5,<5,7.03,<0.1,<1,<1,2.418,0.17,,6.9,0.29,9.24,42,70.4,16.1,,4.32,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
58,11,<1,49,10,<5,27,253,<5,304,<5,<5,<5,<1,920,100,<5,<1,<1,<5,8,3.36,310,<5,<1,<5,<10,<5,<5,7.76,1.99,<1,<1,0.527,0.08,35,7.1,0.53,36.65,356,506,126.0,0.51,39.9,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-04-16,"Los Angeles--Long Beach--Anaheim, CA"
59,27,<1,79,<5,<5,18,240,14,540,<5,<5,<5,<1,1620,655,<5,<1,<1,<5,<5,13.3,1600,<5,<1,<5,127,<5,<5,7.44,0.15,<1,<1,1.202,<0.1,81,20.0,3.55,,1256,1585,337.0,3.55,97.6,<1,LA_Drain_D-2361_Grand_Ave_and_21st_St,1996,1996-06-18,"Los Angeles--Long Beach--Anaheim, CA"
60,<5,<1,33,49,<5,27,380,<5,380,<5,<5,<5,<1,<100,53.3,<5,<1,<1,<5,<5,2.74,<100,<5,<1,<5,<10,<5,<5,8.17,1.45,<1,<1,5.582,<0.1,50,14.0,0.885,21,430,643,241.0,0.88,34.2,<1,Project_1402_near_Foothill_Blvd_and_Don_Diablo_Dr,1995,1995-06-14,"Los Angeles--Long Beach--Anaheim, CA"
61,<5,<1,19,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,470,1674,<5,<1,<1,<5,<5,,<100,<5,<1,<5,<10,<5,<5,7.16,,<1,<1,0.721,0.06,760,,<0.05,4.37,52,81.5,21.4,<0.05,4.08,<1,Project_1402_near_Foothill_Blvd_and_Don_Diablo_Dr,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
62,51,<1,43,<5,15,<5,<50,<5,152,<5,15,<5,<1,7500,154,<5,<1,<1,<5,<5,1.1,170,<5,<1,<5,118,<5,<5,7.2,0.42,<1,<1,1.338,0.3,682,38.0,0.41,5.01,46,73,21.4,,2.02,<1,Project_1402_near_Foothill_Blvd_and_Don_Diablo_Dr,1996,1996-03-05,"Los Angeles--Long Beach--Anaheim, CA"
63,36,<1,35,13,83,<5,<50,<5,70,<5,<5,<5,<1,8600,<5,<5,<1,<1,<5,<5,0.98,480,<5,<1,<5,<10,<5,<5,6.93,<0.1,<1,<1,0.707,0.13,434,64.0,0.36,5.04,30,57,16.1,0.26,3.01,<1,Project_1402_near_Foothill_Blvd_and_Don_Diablo_Dr,1996,1996-03-12,"Los Angeles--Long Beach--Anaheim, CA"
64,<5,<1,28,<5,<5,22,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,1.63,<100,<5,<1,<5,<10,<5,<5,8.22,<0.1,<1,<1,3.46,0.1,47,5.4,0.61,55.41,384,623,203.3,0.43,27.8,<1,Project_1402_near_Foothill_Blvd_and_Don_Diablo_Dr,1996,1996-07-09,"Los Angeles--Long Beach--Anaheim, CA"
65,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,0.444,<100,<5,<1,<5,<10,<5,<5,8.38,<0.1,<1,<1,0.325,<0.1,41,3.3,0.14,7.184,906,1510,268.0,<0.05,44.7,<1,Browns_Creek_Rinaldi_Street,1995,1995-08-23,"Los Angeles--Long Beach--Anaheim, CA"
66,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,0.348,<100,<5,<1,<5,<10,<5,<5,8.41,<0.1,<1,<1,0.303,<0.1,11,1.6,<0.05,8.14,1080,1650,342.7,<0.05,51.3,<1,Browns_Creek_Rinaldi_Street,1995,1995-11-07,"Los Angeles--Long Beach--Anaheim, CA"
67,<5,<1,14,<5,12,<5,<50,<5,<50,<5,<5,<5,<1,120,<5,<5,<1,<1,<5,<5,0.342,60,<5,<1,<5,<10,<5,<5,8.46,<0.1,<1,<1,0.289,<0.1,10,1.1,<0.05,19.32,1100,1560,299.7,<0.05,52.7,<1,Browns_Creek_Rinaldi_Street,1995,1995-11-07,"Los Angeles--Long Beach--Anaheim, CA"
68,<5,<1,27,16,<5,<5,<50,<5,80,<5,<5,<5,<1,3470,<5,<5,<1,<1,<5,<5,0.64,<100,<5,<1,<5,149,<5,<5,8.41,<0.1,<1,<1,0.755,<0.1,100,120.0,0.348,13.14,980,1510,242.7,0.07,42,<1,Browns_Creek_Rinaldi_Street,1995,1995-12-23,"Los Angeles--Long Beach--Anaheim, CA"
69,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,0.28,<100,<5,<1,<5,<10,<5,<5,8.16,<0.1,<1,<1,0.036,<0.1,1,3.1,0.08,7.82,1160,1660,201.0,<0.05,52.4,<1,Browns_Creek_Rinaldi_Street,1996,1996-01-09,"Los Angeles--Long Beach--Anaheim, CA"
70,42,31,305,226,200,<5,<50,<5,651,<5,115,<5,<1,187,<5,<5,<1,<1,<5,<5,1.17,<100,<5,6.81,<5,723,<5,<5,7.91,<0.1,<1,<1,0.759,0.05,8728,1800.0,0.13,8.41,446,646,88.0,0.09,21.7,<1,Browns_Creek_Rinaldi_Street,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
71,<5,<1,11,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,290,<5,<5,<1,<1,<5,<5,0.84,160,<5,<1,<5,<10,<5,<5,7.9,<0.1,<1,<1,1.496,0.03,3192,1160.0,0.08,4.93,386,568,103.0,0.08,24.9,<1,Browns_Creek_Rinaldi_Street,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
72,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,110,<5,<5,<1,<1,<5,<5,0.596,<100,<5,<1,<5,<10,<5,<5,8.29,<0.1,<1,<1,0.37,<0.1,59,16.0,0.13,11.36,1216,1880,254.0,0.08,48.5,<1,Browns_Creek_Rinaldi_Street,1996,1996-03-19,"Los Angeles--Long Beach--Anaheim, CA"
73,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,100,<5,<5,<1,<1,<5,<5,0.68,<100,<5,<1,<5,<10,<5,<5,8.3,0.15,<1,<1,0.052,<0.1,12,1.2,0.07,32,1110,1590,225.0,0.05,67,<1,Browns_Creek_Rinaldi_Street,1996,1996-05-14,"Los Angeles--Long Beach--Anaheim, CA"
74,28,<1,46,17,14,<5,<50,<5,96,<5,<5,<5,<1,2280,<5,<5,<1,<1,<5,<5,1.78,<100,<5,<1,<5,<10,<5,<5,6.76,<0.1,<1,<1,1.218,0.11,138,20.0,0.5,13.2,54,90,13.0,0.2,5.04,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
75,<5,<1,28,19,<5,<5,<50,<5,51,<5,<5,<5,<1,330,109,<5,<1,<1,<5,<5,1,<100,<5,<1,<5,<10,<5,<5,6.82,0.39,<1,85,0.461,0.08,143,50.0,0.07,5.62,28,59.3,13.0,0.07,4.4,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1996,1996-02-19,"Los Angeles--Long Beach--Anaheim, CA"
76,45,<1,69,15.5,13,16,<50,<5,130,<5,<5,<5,<1,3040,328,<5,<1,<1,<5,<5,,<100,<5,<1,<5,105,<5,<5,6.76,,<1,<1,5.99,0.13,183,32.2,1.04,37,154,226,28.89,0.58,13.6,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1996,1996-10-30,"Los Angeles--Long Beach--Anaheim, CA"
77,<5,<1,25,<5,<5,16,50,<5,70,<5,<5,<5,<1,320,318,<5,<1,<1,<5,<5,4.6,100,<5,<1,<5,<10,<5,<5,6.52,0.339,<1,<1,1.196,0.124,86,14.0,0.637,23.9,88,111,23.5,0.389,4.41,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1996,1996-11-21,"Los Angeles--Long Beach--Anaheim, CA"
78,23.3,<1,22,5,7,14,127,20,177,<5,5.2,<5,<1,2320,60.5,<5,<1,<1,<5,<5,2.36,600,<5,<1,<5,39,<5,<5,6.06,0.75,<1,<1,0.377,<0.1,120,23.0,0.37,9.2,30,52,12.1,0.35,3.05,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1997,1997-12-05,"Los Angeles--Long Beach--Anaheim, CA"
79,<5,<1,9,<5,<5,<5,<50,<5,169,<5,<5,<5,<1,2250,191,<5,<1,<1,<5,<5,2.26,<100,<5,<1,<5,<10,<5,<5,6.25,0.162,<1,<1,,,114,38.8,0.34,8.3,34,51,11.0,0.3,,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-01-04,"Los Angeles--Long Beach--Anaheim, CA"
80,<5,<1,10,<5,<5,8,<50,<5,<50,<5,<5,<5,<1,240,20.5,<5,<1,<1,<5,<5,0.978,<100,<5,<1,<5,<10,<5,<5,6.07,0.363,<1,<1,<0.1,<0.1,105,30.8,0.21,7.01,30,49,7.7,0.21,2.93,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-01-09,"Los Angeles--Long Beach--Anaheim, CA"
81,14.7,<1,13,<5,6.2,<5,<50,<5,70,<5,<5,<5,<1,1940,67.9,<5,<1,<1,<5,<5,2.76,240,<5,<1,<5,36.3,<5,<5,6.52,0.321,<1,<1,0.51,0.031,138,25.3,0.23,8.18,32,55,12.1,0.22,2.56,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-01-29,"Los Angeles--Long Beach--Anaheim, CA"
82,32,<1,20,<5,<5,<5,<50,<5,110,<5,<5,<5,<1,2110,65.4,<5,<1,<1,<5,<5,2.34,116,<5,<1,<5,32.1,<5,<5,6.15,0.389,<1,<1,0.29,0.057,14,2.19,0.36,6.4,36,57,7.7,0.35,3.35,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-02,"Los Angeles--Long Beach--Anaheim, CA"
83,5.4,<1,11,<5,<5,<5,<50,<5,50,<5,<5,<5,<1,390,14.6,<5,<1,<1,<5,<5,0.836,<100,<5,<1,<5,<10,<5,<5,6.32,0.129,<1,<1,<0.1,<0.1,14,6.95,0.17,3.8,32,49,7.7,0.15,4.85,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-06,"Los Angeles--Long Beach--Anaheim, CA"
84,10,1.2,9,<5,22,9,74,8.7,92,<5,<5,<5,<1,770,31.4,<5,<1,<1,<5,<5,1.14,269,<5,<1,<5,25.5,<5,<5,6.14,0.266,<1,<1,<0.1,<0.1,28,10.7,0.2,6.9,24,39,11.0,0.2,2.34,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-14,"Los Angeles--Long Beach--Anaheim, CA"
85,9.2,<1,13,<5,<5,<5,<50,<5,58,<5,<5,<5,<1,542,<5,<5,<1,<1,<5,<5,1.46,<100,<5,<1,<5,24.7,<5,<5,6.75,0.236,<1,<1,<0.1,<0.1,30,4.55,,4.4,38,57,16.5,,3.41,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-16,"Los Angeles--Long Beach--Anaheim, CA"
86,18.9,<1,19,<5,<5,<5,<50,<5,67,<5,<5,<5,<1,1900,39.8,<5,<1,1.04,<5,<5,1.66,<100,<5,<1,<5,35.1,<5,<5,6.44,0.264,<1,<1,<0.1,0.037,66,13.3,0.14,3.7,22,36,11.0,0.13,1.66,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-19,"Los Angeles--Long Beach--Anaheim, CA"
87,10.4,<1,9,<5,<5,<5,<50,<5,66,<5,<5,<5,<1,845,<5,<5,<1,<1,<5,<5,1.154,<100,<5,<1,<5,17.5,<5,<5,6.18,0.148,<1,<1,<0.1,<0.1,13,4.06,0.17,3.5,40,63,7.7,0.16,4.19,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-02-21,"Los Angeles--Long Beach--Anaheim, CA"
88,7.9,<1,25,<5,<5,19,53,<5,87,<5,<5,<5,<1,492,88.3,<5,<1,<1,<5,<5,3.86,<100,<5,<1,<5,15.4,<5,<5,6.63,0.584,<1,<1,2.33,0.11,33,2.43,0.46,12.48,78,133,23.1,0.37,5.03,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-03-05,"Los Angeles--Long Beach--Anaheim, CA"
89,34.4,<1,31.2,5.5,<5,10.8,<50,<5,181,<5,<5,<5,<1,1970,135.3,<5,<1,<1,<5,<5,4.84,<100,<5,<1,<5,<10,<5,<5,5.85,0.216,<1,<1,0.829,0.086,133,41.0,0.36,13.5,66,108,20.9,0.32,2.97,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-03-13,"Los Angeles--Long Beach--Anaheim, CA"
90,<5,<1,7.4,<5,<5,7.4,<50,<5,59,<5,<5,<5,<1,343,<5,<5,<1,<1,<5,<5,0.93,275,<5,<1,<5,<10,<5,<5,5.96,0.126,<1,<1,<0.1,<0.1,25,4.61,0.21,6.625,36,59,9.9,0.15,2.16,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-03-25,"Los Angeles--Long Beach--Anaheim, CA"
91,10.3,<1,10.6,<5,<5,<5,<50,<5,79,<5,<5,<5,<1,898,36.98,<5,<1,<1,<5,<5,1.1,<100,<5,<1,<5,24.7,<5,<5,6.28,0.419,<1,<1,<0.1,<0.1,44,12.6,0.19,5.229,36,61,12.1,0.16,4.59,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-03-27,"Los Angeles--Long Beach--Anaheim, CA"
92,13.3,<1,7.5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,1010,19.04,<5,<1,<1,<5,<5,0.976,<100,<5,<1,<5,39.2,<5,<5,6.17,0.419,<1,<1,<0.1,0.033,46,25.0,0.17,4.493,38,64,9.9,0.13,4.97,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-03-31,"Los Angeles--Long Beach--Anaheim, CA"
93,<5,<1,10,<5,<5,8,<50,<5,<50,<5,<5,<5,<1,118,137.44,<5,<1,<1,<5,<5,6.54,<100,<5,<1,<5,<10,<5,<5,6.46,0.279,<1,<1,0.524,0.037,121,25.9,0.21,7.279,36,58,14.3,0.18,<2,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-04-11,"Los Angeles--Long Beach--Anaheim, CA"
94,5.1,<1,14.8,<5,<5,7.3,<50,<5,<50,<5,<5,<5,<1,626,14,<5,<1,<1,<5,<5,1.5,<100,<5,<1,<5,26.4,<5,<5,6.23,0.225,<1,<1,<0.1,<0.1,61,12.5,0.26,7.7,34,50,11.0,0.18,<2,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-05-02,"Los Angeles--Long Beach--Anaheim, CA"
95,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,38,<5,<1,<1,<5,<5,0.756,<100,<5,<1,<5,19.8,<5,<5,5.93,<0.1,<1,<1,<0.1,<0.1,2,4.72,0.19,6.1,32,49,13.2,0.15,2.2,,Project_620_at_Glenwood_Rd_Bruce_Ave,1998,1998-05-12,"Los Angeles--Long Beach--Anaheim, CA"
96,<5,<1,10.6,<5,<5,7.6,63,<5,78,<5,<5,<5,<1,103,28.8,<5,<1,<1,<5,<5,2.58,<100,<5,<1,<5,24.1,<5,<5,6.61,<0.1,<1,<1,1.418,<0.1,51,43.1,0.38,8.6,58,89.1,13.8,0.345,4.64,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1999,1999-04-06,"Los Angeles--Long Beach--Anaheim, CA"
97,<5,2.3,9,<5,<5,6.3,<50,<5,65,<5,<5,<5,1.5,<100,22.7,<5,<1,<1,<5,<5,2.7,<100,<5,<1,<5,14.8,<5,<5,6.5,<0.1,<1,<1,0.492,0.058,96,59.6,0.39,6.5,46,82.6,12.7,0.265,2.82,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1999,1999-04-11,"Los Angeles--Long Beach--Anaheim, CA"
98,8.2,<1,28.5,<5,<5,26.2,<50,<5,64,<5,<5,<5,<1,570,90.2,<5,<1,<1,<5,<5,13.5,410,<5,<1,<5,49.3,<5,<5,7.2,1.95,<1,<1,4.29,0.209,531,137.0,1.41,25.7,160,249,76.0,0.648,10.4,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,1999,1999-12-31,"Los Angeles--Long Beach--Anaheim, CA"
99,7.41,<1,38,6.4,<5,32.5,<50,<5,<50,<5,5.13,<5,<1,550,71.7,<5,<1,<1,<5,<5,13.2,230,<5,<1,<5,55.3,<5,<5,7.35,,<1,<1,1.96,0.456,,131.0,,25.3,224,350,90.1,,14.1,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-01,"Los Angeles--Long Beach--Anaheim, CA"
100,<5,<1,17,5.3,<5,11.5,<50,<5,<50,<5,<5,<5,<1,<100,75.8,<5,<1,<1,<5,<5,3.88,<100,<5,<1,<5,30.1,<5,<5,6.98,1.4,<1,<1,0.957,0.274,372,98.7,0.99,15,90,145,44.5,0.77,4.83,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-11,"Los Angeles--Long Beach--Anaheim, CA"
101,<5,<1,10.1,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,55.9,<5,<1,<1,<5,<5,1.16,<100,<5,<1,<5,21.4,<5,<5,6.93,0.383,<1,<1,0.797,0.055,74,13.6,0.33,7.3,46,70.5,15.9,0.31,3.23,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-15,"Los Angeles--Long Beach--Anaheim, CA"
102,<5,<1,10.5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,28.1,<5,<1,<1,<5,<5,1.112,<100,<5,<1,<5,13.6,<5,<5,6.7,0.588,<1,<1,0.707,0.097,37,5.71,0.305,6.2,42,74.1,15.9,0.247,3.37,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-17,"Los Angeles--Long Beach--Anaheim, CA"
103,<5,<1,8.9,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,1.27,<100,<5,<1,<5,<10,<5,<5,6.41,<0.1,<1,<1,0.388,0.033,55,11.2,0.703,6,38,68.2,10.6,0.308,6.47,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-22,"Los Angeles--Long Beach--Anaheim, CA"
104,<5,<1,<5,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,23.4,<5,<1,<1,<5,<5,0.726,<100,<5,<1,<5,<10,<5,<5,6.5,<0.1,<1,<1,0.201,<0.1,26,8.89,0.133,4,22,39.5,8.48,0.125,3.28,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-02-25,"Los Angeles--Long Beach--Anaheim, CA"
105,<5,<1,8.9,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,160,<5,<5,<1,<1,<5,<5,1.288,<100,<5,<1,<5,<10,<5,<5,6.49,<0.1,<1,<1,0.54,0.052,61,14.0,0.205,6.1,46,81.4,13.8,0.19,8.56,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-03-09,"Los Angeles--Long Beach--Anaheim, CA"
106,<5,<1,24.3,6.93,<5,23.9,70.4,<5,70.4,<5,<5,6.93,<1,120,123,<5,<1,<1,<5,<5,5.2,<100,<5,<1,<5,26,<5,<5,6.74,0.182,<1,<1,0.571,0.505,270,70.4,0.867,34.4,144,227,52.5,0.845,9.73,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-10-28,"Los Angeles--Long Beach--Anaheim, CA"
107,14.8,<1,21.6,<5,<5,6.97,<50,<5,60.8,<5,<5,<5,<1,580,61.2,<5,<1,<1,<5,<5,1.962,160,<5,<1,<5,32.7,<5,<5,6.5,1.246,<1,<1,1.25,0.091,184,43.7,0.579,14.1,56,97,24.2,0.566,3.76,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2000,2000-11-01,"Los Angeles--Long Beach--Anaheim, CA"
108,<5,<1,11.4,<5,<5,9.69,<50,<5,<50,<5,<5,<5,<1,350,109.7,<5,<1,<1,<5,<5,12.4,230,<5,<1,<5,17.9,<5,<5,6.93,1.948,<1,<1,<0.1,<0.1,751,132.0,0.8,17.17,74,130,37.1,0.6,4.81,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-01-16,"Los Angeles--Long Beach--Anaheim, CA"
109,<5,<1,12.7,<5,<5,8.68,<50,<5,<50,<5,<5,<5,<1,280,141,<5,<1,<1,<5,<5,4.84,<100,<5,<1,<5,14.1,<5,<5,6.88,0.776,<1,<1,0.115,<0.1,351,101.0,0.25,8.6,54,96.6,21.2,0.18,5.37,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-01-25,"Los Angeles--Long Beach--Anaheim, CA"
110,<5,<1,10.6,<5,<5,7.26,<50,<5,<50,<5,<5,<5,<1,270,78.2,<5,<1,<1,<5,<5,1.55,<100,<5,<1,<5,<10,<5,<5,6.69,0.468,<1,<1,0.397,0.052,50,9.69,0.27,6.6,44,79.6,15.9,0.23,3.94,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-01-29,"Los Angeles--Long Beach--Anaheim, CA"
111,<5,<1,8.59,<5,<5,5.8,<50,<5,<50,<5,<5,<5,<1,260,72.1,<5,<1,<1,<5,<5,3.1,<100,<5,<1,<5,16.7,<5,<5,6.8,0.39,<1,<1,0.131,0.043,79,8.19,0.38,7.46,52,75.6,21.2,0.35,4.79,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-02-15,"Los Angeles--Long Beach--Anaheim, CA"
112,<5,<1,10.5,<5,<5,7.76,<50,<5,<50,<5,<5,<5,<1,260,63.7,<5,<1,<1,<5,<5,,<100,<5,<1,<5,14.8,<5,<5,6.94,1.82,<1,<1,0.294,0.052,69,26.3,0.326,9.17,38,68,26.5,0.281,3.98,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-02-20,"Los Angeles--Long Beach--Anaheim, CA"
113,<5,<1,5.92,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,<100,<5,<5,<1,<1,<5,<5,1.212,<100,<5,<1,<5,<10,<5,<5,6.89,0.172,<1,<1,0.212,0.043,28,5.16,0.23,5.4,34,56.1,15.9,0.179,3.08,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-02-28,"Los Angeles--Long Beach--Anaheim, CA"
114,<5,<1,34.8,<5,<5,<5,<50,<5,<50,<5,<5,<5,<1,150,<5,<5,<1,<1,<5,<5,0.894,130,<5,<1,<5,11.5,<5,<5,6.69,0.189,<1,<1,0.282,<0.1,57,7.82,0.069,3.1,32,55.7,10.6,0.055,4.42,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-03-08,"Los Angeles--Long Beach--Anaheim, CA"
115,<5,<1,36.8,<5,<5,34.2,<50,<5,<50,<5,<5,<5,<1,349,61.9,<5,<1,<1,<5,<5,4.72,199,<5,<1,<5,43.9,<5,<5,7.93,<0.1,<1,<1,<0.1,0.2191,68,29.5,0.793,15.7,302,466,127.2,0.785,38.1,<1,Project_620_at_Glenwood_Rd_Bruce_Ave,2001,2001-04-11,"Los Angeles--Long Beach--Anaheim, CA"
116,15,<1,22,<5,<5,<5,<50,<5,63,<5,<5,<5,<1,1500,<5,<5,<1,<1,<5,<5,0.79,<100,<5,<1,<5,<10,<5,<5,6.82,<0.1,<1,<1,0.522,0.1,56,14.0,0.45,8.46,34,57,13.0,0.15,3.16,<1,Project_3857_Hamlin_St_and_Oso_Ave,1996,1996-01-31,"Los Angeles--Long Beach--Anaheim, CA"
117,<5,<1,26,13,<5,<5,<50,<5,<50,<5,<5,<5,<1,930,<5,<5,<1,<1,<5,<5,0.82,<100,<5,<1,<5,<10,<5,<5,6.7,<0.1,<1,<1,1.57,0.08,87,11.0,0.1,8.2,36,59,21.4,0.1,1.98,<1,Project_3857_Hamlin_St_and_Oso_Ave,1996,1996-02-20,"Los Angeles--Long Beach--Anaheim, CA"
