,Phosphorous Total as P (mg/L),N02+NO3 (mg/L as N),Nitrogen Kjeldahl Total (mg/L),TSS (mg/L),BOD5 as O2 (mg/L),Lead Total After 1984 (ug/L),Copper Total (ug/L),Cadmium Total (ug/L),Zinc Total (ug/L),Station_Name,year,date,NAME10
232,0.211,1.97,1.12,28,5.9,<3,24.8,<0.2,168,Colonial_Village_CV2,1998,1998-04-17,"Washington, DC--VA--MD"
233,0.26,1.44,1.89,6,9,0.9,26.2,0.18,92.6,Colonial_Village_CV2,1999,1999-10-04,"Washington, DC--VA--MD"
234,0.16,0.66,1.23,19,4,1.6,13.7,0.22,127,Colonial_Village_CV2,2000,2000-02-27,"Washington, DC--VA--MD"
235,0.12,0.54,0.85,17,3,0.8,14.8,<0.2,88.8,Colonial_Village_CV2,2000,2000-03-21,"Washington, DC--VA--MD"
236,0.1,0.8,2.7,9,4,<5,5,<0.5,20,Colonial_Village_CV2,2000,2000-09-19,"Washington, DC--VA--MD"
237,0.15,0.38,1.5,17,3,<5,57,<0.5,180,Colonial_Village_CV2,2000,2000-09-25,"Washington, DC--VA--MD"
238,0.12,3.1,1,<5,<2,<5,39,<0.5,290,Colonial_Village_CV2,2000,2000-11-14,"Washington, DC--VA--MD"
239,0.22,0.75,3.1,17,2,<5,19,<0.5,80,Colonial_Village_CV2,2001,2001-01-19,"Washington, DC--VA--MD"
240,0.11,0.75,0.71,7.6,4,1.4,5,0.21,43.9,Little_Pimmet_LP1,1999,1999-10-20,"Washington, DC--VA--MD"
241,0.2,0.33,0.9,14,13,1.5,4.9,<0.15,24.5,Little_Pimmet_LP1,1999,1999-12-06,"Washington, DC--VA--MD"
242,0.08,0.42,0.61,12,,<0.65,<0.45,<0.2,<0.6,Little_Pimmet_LP1,2000,2000-01-10,"Washington, DC--VA--MD"
243,0.24,0.55,1.16,360,17,1.7,9.9,<0.2,26,Little_Pimmet_LP1,2000,2000-03-16,"Washington, DC--VA--MD"
244,0.09,1.3,1,3,3,<5,2,<0.5,<10,Little_Pimmet_LP1,2000,2000-09-19,"Washington, DC--VA--MD"
245,0.23,0.14,4,7,4,<5,25,<5,30,Little_Pimmet_LP1,2000,2000-09-25,"Washington, DC--VA--MD"
246,0.39,1.3,1.9,26,19,6,20,<0.5,80,Little_Pimmet_LP1,2001,2001-01-08,"Washington, DC--VA--MD"
247,0.15,,1.3,13,4,<5,10,<0.5,30,Little_Pimmet_LP1,2001,2001-03-04,"Washington, DC--VA--MD"
248,0.07,0.89,0.55,3,2,1.4,9,0.25,45.6,Randolph_Street_RS3,1999,1999-09-21,"Washington, DC--VA--MD"
249,0.12,0.94,0.61,<5,3,<0.7,5.5,0.15,43.6,Randolph_Street_RS3,1999,1999-10-10,"Washington, DC--VA--MD"
250,0.18,0.63,0.73,22,5,1.1,8.7,0.22,50.6,Randolph_Street_RS3,1999,1999-12-10,"Washington, DC--VA--MD"
251,0.22,0.97,2.61,33,7,2.4,11.2,0.4,127,Randolph_Street_RS3,2000,2000-02-18,"Washington, DC--VA--MD"
252,0.17,0.368,0.93,52,8,2,9.7,<0.35,76.5,Randolph_Street_RS3,2000,2000-04-08,"Washington, DC--VA--MD"
253,0.2,1.7,1.6,35,3,<5,23,<0.5,230,Randolph_Street_RS3,2000,2000-08-18,"Washington, DC--VA--MD"
254,0.16,4.2,4.7,9,10,<5,62,<0.5,320,Randolph_Street_RS3,2000,2000-11-09,"Washington, DC--VA--MD"
255,0.3,2.8,<0.5,99,3,<5,24,<0.5,30,Randolph_Street_RS3,2001,2001-01-19,"Washington, DC--VA--MD"
256,0.256,0.29,0.64,82,7,<3,3.02,<0.2,10,Trades_Center_TC4,1998,1998-02-03,"Washington, DC--VA--MD"
257,0.17,1.1,2.8,27,13,<1,13.7,0.71,40.2,Trades_Center_TC4,1999,1999-04-01,"Washington, DC--VA--MD"
258,0.17,0.38,1.04,42,6,2.1,8.9,0.51,39.2,Trades_Center_TC4,1999,1999-09-15,"Washington, DC--VA--MD"
259,0.13,0.56,1.09,6,<2,1.9,13.2,0.27,36.8,Trades_Center_TC4,1999,1999-11-26,"Washington, DC--VA--MD"
260,0.19,0.44,0.96,80,7,1.7,5.8,0.25,24.5,Trades_Center_TC4,2000,2000-01-04,"Washington, DC--VA--MD"
261,0.14,1.46,2.23,62,9,1,13.4,2.2,86.8,Trades_Center_TC4,2000,2000-02-14,"Washington, DC--VA--MD"
262,0.19,0.89,2,20,14,1.5,7.1,<0.2,22.8,Trades_Center_TC4,2000,2000-03-12,"Washington, DC--VA--MD"
263,0.233,0.58,1.42,40,12,<1.6,10.1,<0.35,42,Trades_Center_TC4,2000,2000-04-04,"Washington, DC--VA--MD"
264,0.272,0.86,,22,13,<1.5,7.69,<1,23.3,Trades_Center_TC4,2000,2000-06-06,"Washington, DC--VA--MD"
265,0.22,1.1,<0.5,75,19,8,16,<0.5,70,Trades_Center_TC4,2001,2001-01-19,"Washington, DC--VA--MD"
266,0.29,1.5,0.7,92,13,<5,15,1,70,Trades_Center_TC4,2001,2001-03-04,"Washington, DC--VA--MD"
267,0.22,<0.02,<0.5,78,11,<5,6,<0.5,90,Trades_Center_TC4,2001,2001-06-01,"Washington, DC--VA--MD"
268,0.16,2.44,2.63,27,9,12,,<1,167,Sunset_Hills_Road,1992,1992-07-03,"Washington, DC--VA--MD"
269,0.05,0.15,1.51,406,4,20,27,6,87,Sunset_Hills_Road,1992,1992-10-09,"Washington, DC--VA--MD"
270,0.34,0.79,0.84,106,12,9,21,0.2,138,Sunset_Hills_Road,2000,2000-03-21,"Washington, DC--VA--MD"
271,0.27,1.48,2.94,220,11,9,33,0.5,72,Sunset_Hills_Road,2000,2000-03-25,"Washington, DC--VA--MD"
272,0.21,0.72,1.38,280,15,1,30,0.2,94,Sunset_Hills_Road,2000,2000-08-01,"Washington, DC--VA--MD"
273,0.44,0.14,3.56,39,>51,<5,16,<1,101,Onley_Road,1992,1992-06-18,"Washington, DC--VA--MD"
274,0.39,0.13,2.44,<5,6,4,2,<1,58,Onley_Road,1992,1992-07-31,"Washington, DC--VA--MD"
275,0.07,0.73,1.4,9,6,<5,3,<1,56,Green_Look_Place,1992,1992-04-21,"Washington, DC--VA--MD"
276,0.07,0.4,0.63,11,4,<5,4,<1,17,Green_Look_Place,1992,1992-06-04,"Washington, DC--VA--MD"
277,0.11,0.07,0.97,43,,5,12,<1,84,Green_Look_Place,1992,1992-07-31,"Washington, DC--VA--MD"
278,0.03,<0.02,0.89,10,4,4,9,5,31,Green_Look_Place,1992,1992-10-09,"Washington, DC--VA--MD"
279,0.09,2.67,1.68,32,9,<5,11,<1,69,Oakton_Terrace_Road,1992,1992-04-16,"Washington, DC--VA--MD"
280,0.18,0.05,1.57,8.3,9,<5,13,<1,43,Oakton_Terrace_Road,1992,1992-06-30,"Washington, DC--VA--MD"
281,0.24,0.28,0.67,72,8,5,13,5,53,Oakton_Terrace_Road,1992,1992-09-22,"Washington, DC--VA--MD"
282,0.05,0.5,1.39,6.5,4,<5,4,<1,12,Fairview_Park_Drive,1992,1992-07-12,"Washington, DC--VA--MD"
283,0.09,0.66,0.99,20,4,<5,,<1,19,Fairview_Park_Drive,1992,1992-08-11,"Washington, DC--VA--MD"
284,0.07,0.42,1.32,14,4,4,7,1,25,Fairview_Park_Drive,1992,1992-09-22,"Washington, DC--VA--MD"
285,0.13,0.31,1.04,24,8,<1,5,<0.1,51,Fairview_Park_Drive,2000,2000-11-10,"Washington, DC--VA--MD"
286,0.29,0.04,1.22,60,5,4,2,<1,37,Lakeview_Drive,1992,1992-07-31,"Washington, DC--VA--MD"
287,0.32,0.99,5.28,49,42,22,12,<1,64,Lakeview_Drive,1992,1992-10-09,"Washington, DC--VA--MD"
288,0.4,0.61,1.34,27,11,5,8,<0.1,30,Lakeview_Drive,2000,2000-09-19,"Washington, DC--VA--MD"
289,1.16,1.16,4.88,12,,1,8,<0.1,43,Lakeview_Drive,2000,2000-11-29,"Washington, DC--VA--MD"
290,0.15,0.57,1.54,42,10,<5,22,<1,45,Pumphrey_Drive,1992,1992-04-21,"Washington, DC--VA--MD"
291,0.23,2.38,2.53,19,10,<5,25,<1,27,Pumphrey_Drive,1992,1992-06-04,"Washington, DC--VA--MD"
292,0.08,0.3,1.42,3.2,2,<5,3,<1,6,Rock_Ridge_Road,1992,1992-07-21,"Washington, DC--VA--MD"
293,0.05,0.15,0.58,3.2,1,1,2,<1,10,Rock_Ridge_Road,1992,1992-10-09,"Washington, DC--VA--MD"
294,0.11,0.29,1.9,35,6,1,8,,22,Rock_Ridge_Road,2000,2000-09-02,"Washington, DC--VA--MD"
295,0.1,0.82,12.6,16,8,<5,14,<1,180,Boston_Boulevard,1992,1992-04-21,"Washington, DC--VA--MD"
296,0.67,1.99,5.4,290,18,<5,31,5,241,Boston_Boulevard,1992,1992-06-04,"Washington, DC--VA--MD"
297,0.11,1.15,2.56,16,8,<5,,<1,228,Boston_Boulevard,1992,1992-08-11,"Washington, DC--VA--MD"
298,0.22,0.65,1.38,33,9,2,16,<0.1,112,Prosperity_Avenue,2000,2000-08-01,"Washington, DC--VA--MD"
299,0.34,2.22,3.2,28,25,7,34,0.4,215,Prosperity_Avenue,2000,2000-11-29,"Washington, DC--VA--MD"
